id,date,I,name,seq,LAT,LON,Pressure,WND,OWD,replaceName
198300,1983-01-01 00:00:00,0,First,0,0,0,0,0,,False
198301,1983-06-23 12:00:00,1,Sarah,1,11.5,116.5,1004,12,,False
198301,1983-06-25 06:00:00,2,Sarah,2,15.7,109.8,998,20,,False
198301,1983-06-26 00:00:00,1,Sarah,3,18.0,106.3,1000,15,,False
198302,1983-07-09 00:00:00,1,Tip,1,12.0,127.5,1005,12,,False
198302,1983-07-10 18:00:00,2,Tip,2,13.9,118.9,998,20,,False
198302,1983-07-11 06:00:00,3,Tip,3,15.2,116.5,984,25,,False
198302,1983-07-12 18:00:00,2,Tip,4,18.7,111.7,990,20,,False
198302,1983-07-13 00:00:00,1,Tip,5,19.5,111.3,992,15,,False
198302,1983-07-14 00:00:00,0,Tip,6,21.0,109.0,1002,10,,False
198303,1983-07-10 00:00:00,1,Vera,1,8.8,143.5,1008,12,,False
198303,1983-07-12 18:00:00,2,Vera,2,11.1,129.1,995,20,,False
198303,1983-07-13 06:00:00,3,Vera,3,11.4,127.7,988,25,,False
198303,1983-07-14 00:00:00,4,Vera,4,12.6,125.4,975,35,,False
198303,1983-07-14 12:00:00,3,Vera,5,13.5,123.4,980,30,,False
198303,1983-07-16 00:00:00,4,Vera,6,16.7,116.8,980,35,,False
198303,1983-07-17 12:00:00,3,Vera,7,19.7,109.8,970,30,,False
198303,1983-07-18 12:00:00,1,Vera,8,21.4,103.0,990,15,,False
198304,1983-07-21 00:00:00,1,Wayne,1,10.5,139.0,1004,12,,False
198304,1983-07-22 12:00:00,2,Wayne,2,15.3,132.9,995,20,,False
198304,1983-07-22 18:00:00,3,Wayne,3,16.2,131.8,990,25,,False
198304,1983-07-23 06:00:00,4,Wayne,4,17.5,128.8,980,35,,False
198304,1983-07-23 12:00:00,6,Wayne,5,18.1,127.6,912,65,,False
198304,1983-07-25 00:00:00,5,Wayne,6,22.3,119.4,945,50,,False
198304,1983-07-25 12:00:00,3,Wayne,7,24.5,117.1,975,30,,False
198304,1983-07-25 18:00:00,2,Wayne,8,25.6,116.0,990,20,,False
198304,1983-07-26 00:00:00,1,Wayne,9,26.5,114.7,1002,12,,False
198305,1983-08-04 06:00:00,1,Abby,1,8.5,143.5,1006,12,,False
198305,1983-08-05 12:00:00,2,Abby,2,9.6,140.0,998,20,,False
198305,1983-08-06 12:00:00,3,Abby,3,11.8,137.5,985,25,,False
198305,1983-08-07 06:00:00,4,Abby,4,13.5,134.9,965,35,,False
198305,1983-08-07 18:00:00,5,Abby,5,14.9,133.6,930,50,,False
198305,1983-08-08 00:00:00,6,Abby,6,15.7,133.0,908,60,,False
198305,1983-08-10 18:00:00,5,Abby,7,20.1,130.6,930,50,,False
198305,1983-08-11 06:00:00,6,Abby,8,21.2,130.7,925,55,,False
198305,1983-08-13 06:00:00,5,Abby,9,25.1,132.1,925,50,,False
198305,1983-08-14 18:00:00,4,Abby,10,28.1,133.5,950,40,,False
198305,1983-08-16 12:00:00,3,Abby,11,32.6,136.6,970,30,,False
198305,1983-08-18 06:00:00,2,Abby,12,38.0,142.2,992,20,,False
198305,1983-08-19 12:00:00,9,Abby,13,37.5,143.7,990,20,,False
198306,1983-08-10 12:00:00,1,Carmen,1,15.1,115.4,1002,12,,False
198306,1983-08-14 00:00:00,2,Carmen,2,19.8,121.5,996,20,,False
198307,1983-08-11 12:00:00,1,Ben,1,24.0,144.0,1004,12,,False
198307,1983-08-12 00:00:00,2,Ben,2,24.5,145.3,1000,20,,False
198307,1983-08-13 12:00:00,3,Ben,3,29.4,145.3,987,25,,False
198307,1983-08-15 00:00:00,2,Ben,4,34.3,139.3,992,20,,False
198307,1983-08-15 06:00:00,1,Ben,5,34.4,137.1,1000,12,,False
198308,1983-08-19 00:00:00,1,Dom,1,15.8,134.3,1004,12,,False
198308,1983-08-20 12:00:00,2,Dom,2,17.9,133.0,1000,20,,False
198308,1983-08-21 06:00:00,1,Dom,3,20.0,135.6,1002,15,,False
198308,1983-08-22 18:00:00,2,Dom,4,24.5,141.2,998,20,,False
198308,1983-08-24 06:00:00,1,Dom,5,25.4,144.6,998,15,,False
198308,1983-08-25 12:00:00,0,Dom,6,28.0,142.0,1003,10,,False
198309,1983-08-30 00:00:00,1,Ellen,1,13.1,165.1,1008,12,,False
198309,1983-09-01 18:00:00,2,Ellen,2,8.8,145.0,1000,20,,False
198309,1983-09-03 00:00:00,3,Ellen,3,9.9,137.5,990,25,,False
198309,1983-09-04 06:00:00,4,Ellen,4,13.0,130.7,982,35,,False
198309,1983-09-05 12:00:00,5,Ellen,5,16.6,126.0,950,45,,False
198309,1983-09-06 00:00:00,6,Ellen,6,17.8,124.0,928,60,,False
198309,1983-09-06 18:00:00,5,Ellen,7,19.0,121.1,950,45,,False
198309,1983-09-09 06:00:00,3,Ellen,8,22.8,113.2,985,30,,False
198309,1983-09-09 12:00:00,1,Ellen,9,23.6,113.0,998,15,,False
198310,1983-09-19 18:00:00,1,Forrest,1,9.1,146.7,1004,12,,False
198310,1983-09-20 12:00:00,2,Forrest,2,11.0,143.7,1000,20,,False
198310,1983-09-21 06:00:00,3,Forrest,3,12.8,140.9,988,25,,False
198310,1983-09-22 00:00:00,4,Forrest,4,15.3,138.0,975,35,,False
198310,1983-09-22 06:00:00,5,Forrest,5,16.2,137.0,950,45,,False
198310,1983-09-22 12:00:00,6,Forrest,6,17.2,136.0,920,60,,False
198310,1983-09-27 00:00:00,5,Forrest,7,29.9,124.1,935,50,,False
198310,1983-09-27 12:00:00,4,Forrest,8,31.5,125.6,950,40,,False
198310,1983-09-28 00:00:00,3,Forrest,9,32.6,129.4,975,30,,False
198310,1983-09-28 12:00:00,9,Forrest,10,33.5,136.8,990,20,,False
198311,1983-09-28 00:00:00,1,Georgia,1,17.0,117.5,1005,12,,False
198311,1983-09-29 00:00:00,2,Georgia,2,19.0,115.0,996,20,,False
198311,1983-09-29 12:00:00,3,Georgia,3,19.3,112.7,985,25,,False
198311,1983-09-30 18:00:00,2,Georgia,4,20.2,108.1,995,20,,False
198311,1983-10-01 06:00:00,1,Georgia,5,20.4,106.0,1000,15,,False
198311,1983-10-01 12:00:00,0,Georgia,6,20.4,104.5,1002,10,,False
198312,1983-10-01 00:00:00,1,(nameless),1,14.6,117.2,1004,12,,False
198312,1983-10-03 18:00:00,0,(nameless),2,19.2,104.4,1000,10,,False
198313,1983-10-06 12:00:00,1,Herbert,1,10.8,115.0,1004,12,,False
198313,1983-10-07 06:00:00,2,Herbert,2,11.5,113.0,998,20,,False
198313,1983-10-07 18:00:00,3,Herbert,3,12.2,111.8,992,25,,False
198313,1983-10-08 12:00:00,2,Herbert,4,12.6,110.0,995,20,,False
198313,1983-10-09 06:00:00,1,Herbert,5,14.0,107.5,1000,15,,False
198313,1983-10-09 18:00:00,0,Herbert,6,15.0,106.0,1004,10,,False
198314,1983-10-07 00:00:00,1,Ida,1,17.0,143.5,1004,12,,False
198314,1983-10-08 00:00:00,2,Ida,2,20.0,138.0,998,20,,False
198314,1983-10-08 06:00:00,3,Ida,3,20.7,136.3,995,25,,False
198314,1983-10-09 06:00:00,4,Ida,4,24.9,131.9,986,35,,False
198314,1983-10-10 12:00:00,3,Ida,5,31.3,135.0,974,30,,False
198314,1983-10-11 18:00:00,2,Ida,6,37.0,153.0,995,20,,False
198315,1983-10-09 18:00:00,1,Joe,1,13.5,128.0,1004,12,,False
198315,1983-10-11 00:00:00,2,Joe,2,15.5,121.5,998,20,,False
198315,1983-10-11 18:00:00,3,Joe,3,16.8,117.3,992,25,,False
198315,1983-10-14 00:00:00,1,Joe,4,22.4,111.4,1004,15,,False
198316,1983-10-15 18:00:00,1,Kim,1,9.6,115.3,1004,12,,False
198316,1983-10-16 18:00:00,2,Kim,2,10.4,110.3,998,20,,False
198316,1983-10-17 12:00:00,1,Kim,3,13.0,105.0,1000,15,,False
198316,1983-10-18 06:00:00,0,Kim,4,14.0,100.0,1004,10,,False
198317,1983-10-19 06:00:00,1,Lex,1,14.0,132.0,1004,12,,False
198317,1983-10-22 00:00:00,2,Lex,2,16.2,116.5,998,20,,False
198317,1983-10-23 12:00:00,3,Lex,3,18.0,114.0,992,25,,False
198317,1983-10-26 06:00:00,2,Lex,4,17.9,106.6,992,20,,False
198317,1983-10-26 12:00:00,1,Lex,5,18.0,105.1,995,15,,False
198318,1983-10-28 06:00:00,1,(nameless),1,11.5,116.0,1004,12,,False
198318,1983-10-30 00:00:00,0,(nameless),2,14.0,108.0,1006,10,,False
198319,1983-10-30 00:00:00,1,Marge,1,6.0,149.0,1006,12,,False
198319,1983-11-01 00:00:00,2,Marge,2,10.5,142.5,998,20,,False
198319,1983-11-02 00:00:00,3,Marge,3,14.5,140.3,990,25,,False
198319,1983-11-02 18:00:00,4,Marge,4,16.6,139.4,972,35,,False
198319,1983-11-03 12:00:00,5,Marge,5,17.6,137.3,930,50,,False
198319,1983-11-03 18:00:00,6,Marge,6,17.9,136.1,913,60,,False
198319,1983-11-06 12:00:00,5,Marge,7,25.3,139.9,930,50,,False
198319,1983-11-07 00:00:00,9,Marge,8,31.3,148.0,955,40,,False
198320,1983-11-08 06:00:00,1,Norris,1,17.0,155.0,1006,12,,False
198320,1983-11-09 00:00:00,2,Norris,2,18.7,151.6,996,20,,False
198320,1983-11-10 18:00:00,1,Norris,3,25.8,155.5,1002,15,,False
198321,1983-11-16 18:00:00,1,Orchid,1,10.0,138.0,1004,12,,False
198321,1983-11-18 00:00:00,2,Orchid,2,12.4,130.8,996,20,,False
198321,1983-11-19 00:00:00,3,Orchid,3,12.7,128.0,985,25,,False
198321,1983-11-20 00:00:00,4,Orchid,4,12.2,127.5,970,35,,False
198321,1983-11-20 18:00:00,5,Orchid,5,13.1,126.1,945,45,,False
198321,1983-11-22 12:00:00,4,Orchid,6,15.6,125.8,950,40,,False
198321,1983-11-23 06:00:00,5,Orchid,7,17.0,126.2,935,50,,False
198321,1983-11-23 12:00:00,6,Orchid,8,17.0,126.2,933,55,,False
198321,1983-11-24 06:00:00,5,Orchid,9,17.4,125.3,935,50,,False
198321,1983-11-24 12:00:00,4,Orchid,10,17.4,125.3,945,40,,False
198321,1983-11-25 00:00:00,3,Orchid,11,17.9,124.7,970,30,,False
198321,1983-11-25 18:00:00,2,Orchid,12,18.2,124.2,995,20,,False
198321,1983-11-26 00:00:00,1,Orchid,13,18.2,124.2,1002,15,,False
198322,1983-11-17 18:00:00,1,Percy,1,9.5,110.5,1004,12,,False
