year,name,id,seq,YYYYMMDDHH,I,LAT,LON,Pressure,WND,OWD,replaceName
2002,Tapah,200201,1,2002011006,1,9.2,134.0,1005,12,,False
2002,Tapah,200201,2,2002011012,1,9.6,133.4,1005,12,,False
2002,Tapah,200201,3,2002011018,1,9.9,132.5,1004,15,,False
2002,Tapah,200201,4,2002011100,1,10.2,131.6,1004,15,,False
2002,Tapah,200201,5,2002011106,1,10.8,131.0,1004,15,,False
2002,Tapah,200201,6,2002011112,1,11.4,130.1,1002,15,,False
2002,Tapah,200201,7,2002011118,1,11.7,129.1,1002,15,,False
2002,Tapah,200201,8,2002011200,1,12.2,128.0,1002,15,,False
2002,Tapah,200201,9,2002011206,2,12.9,126.7,998,18,,False
2002,Tapah,200201,10,2002011212,2,13.9,125.5,995,20,,False
2002,Tapah,200201,11,2002011218,2,14.5,124.6,995,20,,False
2002,Tapah,200201,12,2002011300,2,15.1,123.9,998,18,,False
2002,Tapah,200201,13,2002011306,2,15.5,123.1,998,18,,False
2002,Tapah,200201,14,2002011312,1,16.2,122.4,1000,15,,False
2002,Tapah,200201,15,2002011318,1,17.3,122.2,1002,15,,False
2002,Tapah,200201,16,2002011400,1,19.0,122.1,1004,12,,False
2002,Mitag,200202,1,2002022618,1,6.0,155.5,1004,12,,False
2002,Mitag,200202,2,2002022700,1,6.2,155.3,1004,12,,False
2002,Mitag,200202,3,2002022706,1,6.5,155.0,1002,12,,False
2002,Mitag,200202,4,2002022712,1,6.7,154.6,1000,15,,False
2002,Mitag,200202,5,2002022718,1,6.8,154.0,1000,15,,False
2002,Mitag,200202,6,2002022800,1,7.0,153.3,1000,15,,False
2002,Mitag,200202,7,2002022806,1,7.1,152.2,998,15,,False
2002,Mitag,200202,8,2002022812,2,7.1,151.2,995,18,,False
2002,Mitag,200202,9,2002022818,2,7.1,150.2,995,20,,False
2002,Mitag,200202,10,2002030100,2,6.7,148.9,990,23,,False
2002,Mitag,200202,11,2002030106,3,6.6,147.9,985,28,,False
2002,Mitag,200202,12,2002030112,3,6.6,146.9,985,28,,False
2002,Mitag,200202,13,2002030118,3,6.7,145.5,980,30,,False
2002,Mitag,200202,14,2002030200,3,7.0,144.3,980,30,,False
2002,Mitag,200202,15,2002030206,4,7.5,142.9,975,33,,False
2002,Mitag,200202,16,2002030212,4,8.0,141.0,970,35,,False
2002,Mitag,200202,17,2002030218,4,8.5,139.5,965,35,,False
2002,Mitag,200202,18,2002030300,4,8.9,138.1,965,35,,False
2002,Mitag,200202,19,2002030306,4,9.5,136.8,960,40,,False
2002,Mitag,200202,20,2002030312,4,10.2,135.3,960,40,,False
2002,Mitag,200202,21,2002030318,4,10.6,134.2,960,40,,False
2002,Mitag,200202,22,2002030400,5,10.8,133.2,955,45,,False
2002,Mitag,200202,23,2002030406,5,11.1,132.5,955,45,,False
2002,Mitag,200202,24,2002030412,5,11.9,132.0,955,45,,False
2002,Mitag,200202,25,2002030418,5,12.5,131.2,955,45,,False
2002,Mitag,200202,26,2002030500,5,13.1,130.5,955,45,,False
2002,Mitag,200202,27,2002030506,5,13.8,130.1,945,50,,False
2002,Mitag,200202,28,2002030512,5,14.3,129.9,945,50,,False
2002,Mitag,200202,29,2002030518,5,14.9,129.9,945,50,,False
2002,Mitag,200202,30,2002030600,5,15.6,130.1,945,50,,False
2002,Mitag,200202,31,2002030606,5,16.1,130.4,945,50,,False
2002,Mitag,200202,32,2002030612,5,16.7,131.0,955,45,,False
2002,Mitag,200202,33,2002030618,4,17.1,131.5,965,40,,False
2002,Mitag,200202,34,2002030700,4,17.6,132.4,970,35,,False
2002,Mitag,200202,35,2002030706,3,18.1,133.5,980,30,,False
2002,Mitag,200202,36,2002030712,3,18.3,134.6,985,25,,False
2002,Mitag,200202,37,2002030718,2,18.3,135.2,990,20,,False
2002,Mitag,200202,38,2002030800,2,17.7,135.4,995,18,,False
2002,Mitag,200202,39,2002030806,1,17.1,135.3,1000,15,,False
2002,Mitag,200202,40,2002030812,1,16.7,134.8,1004,12,,False
2002,(nameless),200203,1,2002031918,0,6.3,132.7,1005,10,,False
2002,(nameless),200203,2,2002032000,1,6.8,131.4,1004,12,,False
2002,(nameless),200203,3,2002032006,1,7.2,130.3,1004,15,,False
2002,(nameless),200203,4,2002032012,1,7.6,129.6,1004,15,,False
2002,(nameless),200203,5,2002032018,1,7.9,128.6,1004,15,,False
2002,(nameless),200203,6,2002032100,1,8.1,127.6,1004,15,,False
2002,(nameless),200203,7,2002032106,1,8.2,126.5,1004,15,,False
2002,(nameless),200203,8,2002032112,1,8.7,125.5,1004,15,,False
2002,(nameless),200203,9,2002032118,1,9.3,125.0,1004,15,,False
2002,(nameless),200203,10,2002032200,1,10.0,124.0,1004,15,,False
2002,(nameless),200203,11,2002032206,1,10.3,123.0,1004,15,,False
2002,(nameless),200203,12,2002032212,1,10.7,122.2,1004,15,,False
2002,(nameless),200203,13,2002032218,1,11.0,120.7,1004,15,,False
2002,(nameless),200203,14,2002032300,1,11.3,119.3,1004,12,,False
2002,(nameless),200203,15,2002032306,1,11.3,118.0,1004,12,,False
2002,(nameless),200203,16,2002032312,1,11.3,116.7,1004,12,,False
2002,Hagibis,200204,1,2002051506,1,7.3,149.4,1004,12,,False
2002,Hagibis,200204,2,2002051512,1,8.0,147.7,1004,12,,False
2002,Hagibis,200204,3,2002051518,1,8.9,146.7,1002,15,,False
