year,name,id,seq,YYYYMMDDHH,I,LAT,LON,Pressure,WND,OWD,replaceName
2005,Kulap,200501,1,2005011400,1,6.0,150.2,1004,15,,False
2005,Kulap,200501,2,2005011406,1,5.7,148.0,1002,15,,False
2005,Kulap,200501,3,2005011412,1,6.0,147.4,1000,15,,False
2005,Kulap,200501,4,2005011418,1,6.8,147.1,1000,15,,False
2005,Kulap,200501,5,2005011500,1,7.5,146.3,1000,15,,False
2005,Kulap,200501,6,2005011506,1,8.1,147.4,998,15,,False
2005,Kulap,200501,7,2005011512,2,9.5,147.4,995,18,,False
2005,Kulap,200501,8,2005011518,2,10.4,146.9,992,20,,False
2005,Kulap,200501,9,2005011600,2,11.5,146.6,992,20,,False
2005,Kulap,200501,10,2005011606,2,12.5,146.2,990,23,,False
2005,Kulap,200501,11,2005011612,2,13.1,145.9,990,23,,False
2005,Kulap,200501,12,2005011618,2,13.5,146.5,990,23,,False
2005,Kulap,200501,13,2005011700,2,14.2,147.7,990,23,,False
2005,Kulap,200501,14,2005011706,2,14.9,148.6,990,23,,False
2005,Kulap,200501,15,2005011712,2,15.7,149.6,990,23,,False
2005,Kulap,200501,16,2005011718,3,16.3,150.7,985,25,,False
2005,Kulap,200501,17,2005011800,3,16.7,151.6,985,25,,False
2005,Kulap,200501,18,2005011806,3,17.3,152.6,985,25,,False
2005,Kulap,200501,19,2005011812,3,17.6,153.2,985,25,,False
2005,Kulap,200501,20,2005011818,2,18.0,153.8,990,23,,False
2005,Kulap,200501,21,2005011900,2,18.4,154.4,1000,18,,False
2005,Kulap,200501,22,2005011906,1,18.7,155.1,1004,15,,False
2005,Kulap,200501,23,2005011912,1,18.9,155.8,1010,12,,False
2005,Roke,200502,1,2005031200,0,6.0,151.4,1008,10,,False
2005,Roke,200502,2,2005031206,0,6.3,150.9,1006,10,,False
2005,Roke,200502,3,2005031212,0,6.7,150.2,1006,10,,False
2005,Roke,200502,4,2005031218,0,7.0,149.5,1006,10,,False
2005,Roke,200502,5,2005031300,0,7.3,148.5,1006,10,,False
2005,Roke,200502,6,2005031306,1,7.9,147.1,1004,12,,False
2005,Roke,200502,7,2005031312,1,8.4,145.5,1002,15,,False
2005,Roke,200502,8,2005031318,1,9.3,143.7,1000,15,,False
2005,Roke,200502,9,2005031400,1,9.9,142.5,1000,15,,False
2005,Roke,200502,10,2005031406,1,10.4,141.2,1000,15,,False
2005,Roke,200502,11,2005031412,1,10.6,140.0,1000,15,,False
2005,Roke,200502,12,2005031418,1,10.9,138.7,1000,15,,False
2005,Roke,200502,13,2005031500,2,11.5,137.5,996,18,,False
2005,Roke,200502,14,2005031506,2,12.1,136.0,992,20,,False
2005,Roke,200502,15,2005031512,2,12.3,134.5,992,20,,False
2005,Roke,200502,16,2005031518,2,12.2,132.9,990,23,,False
2005,Roke,200502,17,2005031600,3,11.8,131.1,990,25,,False
2005,Roke,200502,18,2005031606,3,11.7,128.9,980,30,,False
2005,Roke,200502,19,2005031612,3,11.5,126.6,980,30,,False
2005,Roke,200502,20,2005031618,3,11.0,124.7,990,25,,False
2005,Roke,200502,21,2005031700,2,11.0,122.8,990,23,,False
2005,Roke,200502,22,2005031706,2,11.5,121.1,995,20,,False
2005,Roke,200502,23,2005031712,2,12.0,120.0,996,18,,False
2005,Roke,200502,24,2005031718,1,11.8,118.6,1002,15,,False
2005,Roke,200502,25,2005031800,1,11.9,117.1,1004,12,,False
2005,Roke,200502,26,2005031806,1,11.9,115.9,1004,12,,False
2005,Roke,200502,27,2005031812,0,11.6,114.6,1006,10,,False
2005,Roke,200502,28,2005031818,0,11.4,113.4,1006,10,,False
2005,Roke,200502,29,2005031900,0,10.9,112.0,1006,10,,False
2005,Roke,200502,30,2005031906,0,10.5,110.5,1006,10,,False
2005,Sonca,200503,1,2005042106,1,8.7,141.9,1004,12,,False
2005,Sonca,200503,2,2005042112,1,9.9,139.9,1004,12,,False
2005,Sonca,200503,3,2005042118,1,10.6,138.6,1004,12,,False
2005,Sonca,200503,4,2005042200,1,11.0,137.4,1004,12,,False
2005,Sonca,200503,5,2005042206,1,11.5,136.1,1000,15,,False
2005,Sonca,200503,6,2005042212,1,11.5,134.4,1000,15,,False
2005,Sonca,200503,7,2005042218,1,11.3,133.4,1000,15,,False
2005,Sonca,200503,8,2005042300,2,11.6,132.8,996,18,,False
2005,Sonca,200503,9,2005042306,2,12.2,131.9,990,23,,False
2005,Sonca,200503,10,2005042312,3,12.6,131.5,980,30,,False
2005,Sonca,200503,11,2005042318,4,13.1,131.2,975,33,,False
2005,Sonca,200503,12,2005042400,4,13.5,130.8,970,35,,False
2005,Sonca,200503,13,2005042406,4,14.0,130.8,960,40,,False
2005,Sonca,200503,14,2005042412,5,14.5,130.8,950,45,,False
2005,Sonca,200503,15,2005042418,5,15.2,131.0,950,45,,False
2005,Sonca,200503,16,2005042500,5,16.0,131.2,950,45,,False
2005,Sonca,200503,17,2005042506,5,16.6,131.6,950,45,,False
2005,Sonca,200503,18,2005042512,5,17.5,132.2,950,45,,False
2005,Sonca,200503,19,2005042518,5,18.7,132.8,955,45,,False
2005,Sonca,200503,20,2005042600,5,20.0,134.0,955,45,,False
2005,Sonca,200503,21,2005042606,4,21.7,135.7,965,40,,False
2005,Sonca,200503,22,2005042612,4,23.5,138.1,965,40,,False
2005,Sonca,200503,23,2005042618,4,24.8,140.2,975,33,,False
2005,Sonca,200503,24,2005042700,3,25.5,142.7,980,28,,False
2005,Sonca,200503,25,2005042706,2,26.7,145.6,990,23,,False
2005,Sonca,200503,26,2005042712,9,27.7,148.7,996,15,,False
2005,Sonca,200503,27,2005042718,9,28.5,151.6,1000,15,,False
2005,Sonca,200503,28,2005042800,9,28.6,155.3,1004,15,,False
2005,Sonca,200503,29,2005042806,9,28.4,158.3,1006,12,,False
