year,name,id,seq,YYYYMMDDHH,I,LAT,LON,Pressure,WND,OWD,replaceName
2000,Damrey,200001,1,2000050500,1,9.6,136.0,1004,15,,False
2000,Damrey,200001,2,2000050506,1,9.9,135.0,1004,15,,False
2000,Damrey,200001,3,2000050512,1,10.2,134.4,1004,15,,False
2000,Damrey,200001,4,2000050518,1,10.7,133.7,1002,15,,False
2000,Damrey,200001,5,2000050600,1,11.1,133.0,1002,15,,False
2000,Damrey,200001,6,2000050606,1,11.8,132.3,1002,15,,False
2000,Damrey,200001,7,2000050612,1,12.5,132.1,1000,15,,False
2000,Damrey,200001,8,2000050618,1,13.0,131.8,1000,15,,False
2000,Damrey,200001,9,2000050700,2,13.2,131.6,995,20,,False
2000,Damrey,200001,10,2000050706,3,13.4,131.3,985,25,,False
2000,Damrey,200001,11,2000050712,3,13.7,131.2,980,28,,False
2000,Damrey,200001,12,2000050718,3,13.8,131.3,980,30,,False
2000,Damrey,200001,13,2000050800,4,14.0,131.5,975,33,,False
2000,Damrey,200001,14,2000050806,4,14.3,132.0,970,35,,False
2000,Damrey,200001,15,2000050812,4,14.6,132.4,970,35,,False
2000,Damrey,200001,16,2000050818,4,15.1,133.0,965,40,,False
2000,Damrey,200001,17,2000050900,5,15.6,133.5,955,45,,False
2000,Damrey,200001,18,2000050906,5,16.4,134.4,945,50,,False
2000,Damrey,200001,19,2000050912,5,17.3,135.3,940,50,,False
2000,Damrey,200001,20,2000050918,5,18.7,136.0,935,50,,False
2000,Damrey,200001,21,2000051000,5,19.5,136.8,935,50,,False
2000,Damrey,200001,22,2000051006,5,20.8,137.8,945,45,,False
2000,Damrey,200001,23,2000051012,4,22.2,138.8,955,40,,False
2000,Damrey,200001,24,2000051018,4,23.0,139.5,955,40,,False
2000,Damrey,200001,25,2000051100,4,23.7,139.9,965,35,,False
2000,Damrey,200001,26,2000051106,3,25.1,141.1,975,30,,False
2000,Damrey,200001,27,2000051112,3,26.0,142.0,980,28,,False
2000,Damrey,200001,28,2000051118,3,26.9,143.5,980,25,,False
2000,Damrey,200001,29,2000051200,2,27.7,145.9,990,20,,False
