year,name,id,seq,YYYYMMDDHH,I,LAT,LON,Pressure,WND,OWD,replaceName
1981,Holly,198103,32,1981050618,1,11.9,146.9,1000,12,,False
1981,Holly,198103,33,1981050700,0,12.0,146.4,1004,10,,False
1981,Holly,198103,34,1981050706,0,12.0,145.5,1004,10,,False
1981,Holly,198103,35,1981050712,0,12.0,144.7,1006,10,,False
1981,Holly,198103,36,1981050718,0,12.0,143.9,1006,10,,False
1981,Holly,198103,37,1981050800,0,12.0,143.2,1007,10,,False
1981,Holly,198103,38,1981050806,0,12.0,142.0,1007,10,,False
1981,Ike,198104,1,1981060712,0,17.3,118.3,1003,10,,False
1981,Ike,198104,2,1981060718,0,17.4,117.3,1003,10,,False
1981,Ike,198104,3,1981060800,1,17.8,116.5,1002,12,,False
1981,Ike,198104,4,1981060806,1,17.9,115.9,1000,15,,False
1981,Ike,198104,5,1981060812,1,18.0,115.0,998,15,,False
1981,Ike,198104,6,1981060818,1,17.9,113.3,998,15,,False
1981,Ike,198104,7,1981060900,1,17.3,112.0,998,15,,False
1981,Ike,198104,8,1981060906,2,17.2,111.8,996,20,,False
1981,Ike,198104,9,1981060912,2,17.0,111.5,995,20,,False
1981,Ike,198104,10,1981060918,3,17.1,111.2,993,25,,False
1981,Ike,198104,11,1981061000,3,17.2,111.0,993,25,,False
1981,Ike,198104,12,1981061006,3,17.4,110.9,993,25,,False
1981,Ike,198104,13,1981061012,3,17.7,111.1,993,25,,False
1981,Ike,198104,14,1981061018,3,17.9,111.4,993,25,,False
1981,Ike,198104,15,1981061100,3,18.1,111.7,990,25,,False
1981,Ike,198104,16,1981061106,3,18.3,112.3,990,25,,False
1981,Ike,198104,17,1981061112,3,18.5,113.0,985,25,,False
1981,Ike,198104,18,1981061118,3,18.8,113.8,985,25,,False
1981,Ike,198104,19,1981061200,3,19.3,114.5,980,30,,False
1981,Ike,198104,20,1981061206,3,19.7,116.0,975,30,,False
1981,Ike,198104,21,1981061212,3,20.4,117.4,967,30,,False
1981,Ike,198104,22,1981061218,3,21.0,118.8,970,30,,False
1981,Ike,198104,23,1981061300,3,22.0,120.1,970,30,,False
1981,Ike,198104,24,1981061306,3,23.0,121.0,974,30,,False
1981,Ike,198104,25,1981061312,3,23.9,121.9,980,25,,False
1981,Ike,198104,26,1981061318,3,25.4,121.9,984,25,,False
1981,Ike,198104,27,1981061400,3,26.8,122.6,985,30,,False
1981,Ike,198104,28,1981061406,3,27.8,123.4,990,25,,False
1981,Ike,198104,29,1981061412,2,28.0,124.5,992,20,,False
1981,Ike,198104,30,1981061418,1,27.9,125.6,998,15,,False
1981,Ike,198104,31,1981061500,9,28.5,126.5,1000,15,,False
1981,Ike,198104,32,1981061506,9,28.9,125.0,1000,15,,False
1981,Ike,198104,33,1981061512,9,30.0,125.2,1002,15,,False
1981,Ike,198104,34,1981061518,9,30.5,125.9,1002,15,,False
1981,Ike,198104,35,1981061600,9,30.7,126.4,1004,10,,False
1981,Ike,198104,36,1981061606,9,31.0,127.2,1004,10,,False
1981,Ike,198104,37,1981061612,9,31.6,127.7,1006,9,,False
1981,Ike,198104,38,1981061618,9,32.2,128.0,1006,9,,False
1981,Ike,198104,39,1981061700,9,32.9,127.7,1007,9,,False
1981,Ike,198104,40,1981061706,9,33.6,127.5,1007,9,,False
